  Time(year)	  SI(Albite)	          pH	    Tot_SiO2	      Tot_Al	      TOT_Na	
  0.0000e+00	 -9.9990e+01	  6.0000e+00	  0.0000e+00	  1.0000e-07	  0.0000e+00	
  1.5844e+00	 -7.5686e+00	  6.0011e+00	  2.4328e-05	  1.2334e-08	  1.2208e-05	
  3.1689e+00	 -6.6632e+00	  6.0022e+00	  4.8731e-05	  6.1451e-09	  2.4413e-05	
  4.7533e+00	 -6.1335e+00	  6.0032e+00	  7.3131e-05	  4.0866e-09	  3.6614e-05	
  6.3378e+00	 -5.7575e+00	  6.0043e+00	  9.7524e-05	  3.0583e-09	  4.8811e-05	
  7.9222e+00	 -5.4657e+00	  6.0054e+00	  1.2191e-04	  2.4417e-09	  6.1004e-05	
  9.5066e+00	 -5.2272e+00	  6.0065e+00	  1.4629e-04	  2.0308e-09	  7.3193e-05	
  1.1091e+01	 -5.0254e+00	  6.0076e+00	  1.7066e-04	  1.7374e-09	  8.5378e-05	
  1.2676e+01	 -4.8505e+00	  6.0086e+00	  1.9502e-04	  1.5174e-09	  9.7559e-05	
  1.4260e+01	 -4.6962e+00	  6.0097e+00	  2.1937e-04	  1.3463e-09	  1.0974e-04	
  1.5844e+01	 -4.5580e+00	  6.0108e+00	  2.4372e-04	  1.2095e-09	  1.2191e-04	
  1.7429e+01	 -4.4329e+00	  6.0119e+00	  2.6806e-04	  1.0975e-09	  1.3408e-04	
  1.9013e+01	 -4.3187e+00	  6.0129e+00	  2.9239e-04	  1.0043e-09	  1.4625e-04	
  2.0598e+01	 -4.2135e+00	  6.0140e+00	  3.1671e-04	  9.2536e-10	  1.5841e-04	
  2.2182e+01	 -4.1161e+00	  6.0151e+00	  3.4103e-04	  8.5775e-10	  1.7056e-04	
  2.3767e+01	 -4.0253e+00	  6.0162e+00	  3.6534e-04	  7.9916e-10	  1.8272e-04	
  2.5351e+01	 -3.9404e+00	  6.0172e+00	  3.8963e-04	  7.4791e-10	  1.9487e-04	
  2.6935e+01	 -3.8605e+00	  6.0183e+00	  4.1393e-04	  7.0270e-10	  2.0701e-04	
  2.8520e+01	 -3.7852e+00	  6.0194e+00	  4.3821e-04	  6.6252e-10	  2.1915e-04	
  3.0104e+01	 -3.7139e+00	  6.0204e+00	  4.6248e-04	  6.2658e-10	  2.3129e-04	
  3.1689e+01	 -3.6462e+00	  6.0215e+00	  4.8675e-04	  5.9424e-10	  2.4342e-04	
  3.3273e+01	 -3.5818e+00	  6.0226e+00	  5.1101e-04	  5.6499e-10	  2.5555e-04	
  3.4858e+01	 -3.5203e+00	  6.0236e+00	  5.3526e-04	  5.3840e-10	  2.6768e-04	
  3.6442e+01	 -3.4615e+00	  6.0247e+00	  5.5950e-04	  5.1414e-10	  2.7980e-04	
  3.8027e+01	 -3.4052e+00	  6.0258e+00	  5.8373e-04	  4.9190e-10	  2.9191e-04	
  3.9611e+01	 -3.3512e+00	  6.0268e+00	  6.0795e-04	  4.7145e-10	  3.0403e-04	
  4.1195e+01	 -3.2993e+00	  6.0279e+00	  6.3217e-04	  4.5257e-10	  3.1613e-04	
  4.2780e+01	 -3.2493e+00	  6.0290e+00	  6.5638e-04	  4.3510e-10	  3.2824e-04	
  4.4364e+01	 -3.2010e+00	  6.0300e+00	  6.8057e-04	  4.1888e-10	  3.4034e-04	
  4.5949e+01	 -3.1545e+00	  6.0311e+00	  7.0476e-04	  4.0379e-10	  3.5243e-04	
  4.7533e+01	 -3.1095e+00	  6.0321e+00	  7.2894e-04	  3.8971e-10	  3.6452e-04	
  4.9118e+01	 -3.0659e+00	  6.0332e+00	  7.5311e-04	  3.7654e-10	  3.7661e-04	
  5.0702e+01	 -3.0237e+00	  6.0343e+00	  7.7727e-04	  3.6420e-10	  3.8869e-04	
  5.2286e+01	 -2.9828e+00	  6.0353e+00	  8.0143e-04	  3.5261e-10	  4.0076e-04	
  5.3871e+01	 -2.9431e+00	  6.0364e+00	  8.2557e-04	  3.4171e-10	  4.1283e-04	
  5.5455e+01	 -2.9045e+00	  6.0374e+00	  8.4970e-04	  3.3143e-10	  4.2490e-04	
  5.7040e+01	 -2.8670e+00	  6.0385e+00	  8.7382e-04	  3.2173e-10	  4.3696e-04	
  5.8624e+01	 -2.8305e+00	  6.0395e+00	  8.9794e-04	  3.1256e-10	  4.4902e-04	
  6.0209e+01	 -2.7949e+00	  6.0406e+00	  9.2204e-04	  3.0387e-10	  4.6107e-04	
  6.1793e+01	 -2.7603e+00	  6.0416e+00	  9.4613e-04	  2.9563e-10	  4.7312e-04	
  6.3378e+01	 -2.7265e+00	  6.0427e+00	  9.7022e-04	  2.8781e-10	  4.8516e-04	
  6.4962e+01	 -2.6935e+00	  6.0438e+00	  9.9429e-04	  2.8037e-10	  4.9719e-04	
  6.6546e+01	 -2.6613e+00	  6.0448e+00	  1.0183e-03	  2.7329e-10	  5.0922e-04	
  6.8131e+01	 -2.6298e+00	  6.0459e+00	  1.0424e-03	  2.6655e-10	  5.2125e-04	
  6.9715e+01	 -2.5991e+00	  6.0469e+00	  1.0664e-03	  2.6011e-10	  5.3327e-04	
  7.1300e+01	 -2.5690e+00	  6.0480e+00	  1.0905e-03	  2.5396e-10	  5.4528e-04	
  7.2884e+01	 -2.5396e+00	  6.0490e+00	  1.1145e-03	  2.4809e-10	  5.5729e-04	
  7.4469e+01	 -2.5108e+00	  6.0500e+00	  1.1385e-03	  2.4246e-10	  5.6930e-04	
  7.6053e+01	 -2.4826e+00	  6.0511e+00	  1.1625e-03	  2.3707e-10	  5.8129e-04	
  7.7637e+01	 -2.4549e+00	  6.0521e+00	  1.1865e-03	  2.3191e-10	  5.9328e-04	
  7.9222e+01	 -2.4278e+00	  6.0532e+00	  1.2104e-03	  2.2696e-10	  6.0527e-04	
  8.0806e+01	 -2.4012e+00	  6.0542e+00	  1.2344e-03	  2.2220e-10	  6.1725e-04	
  8.2391e+01	 -2.3752e+00	  6.0553e+00	  1.2583e-03	  2.1763e-10	  6.2922e-04	
  8.3975e+01	 -2.3496e+00	  6.0563e+00	  1.2823e-03	  2.1323e-10	  6.4119e-04	
  8.5560e+01	 -2.3245e+00	  6.0574e+00	  1.3062e-03	  2.0900e-10	  6.5315e-04	
  8.7144e+01	 -2.2998e+00	  6.0584e+00	  1.3301e-03	  2.0492e-10	  6.6510e-04	
  8.8729e+01	 -2.2756e+00	  6.0594e+00	  1.3540e-03	  2.0100e-10	  6.7705e-04	
  9.0313e+01	 -2.2518e+00	  6.0605e+00	  1.3779e-03	  1.9721e-10	  6.8899e-04	
  9.1897e+01	 -2.2284e+00	  6.0615e+00	  1.4017e-03	  1.9356e-10	  7.0092e-04	
  9.3482e+01	 -2.2054e+00	  6.0626e+00	  1.4256e-03	  1.9003e-10	  7.1284e-04	
  9.5066e+01	 -2.1827e+00	  6.0636e+00	  1.4494e-03	  1.8662e-10	  7.2476e-04	
  9.6651e+01	 -2.1604e+00	  6.0646e+00	  1.4732e-03	  1.8333e-10	  7.3667e-04	
  9.8235e+01	 -2.1385e+00	  6.0657e+00	  1.4971e-03	  1.8014e-10	  7.4858e-04	
  9.9820e+01	 -2.1170e+00	  6.0667e+00	  1.5208e-03	  1.7706e-10	  7.6047e-04	
  1.0140e+02	 -2.0957e+00	  6.0677e+00	  1.5446e-03	  1.7408e-10	  7.7236e-04	
  1.0299e+02	 -2.0748e+00	  6.0688e+00	  1.5684e-03	  1.7119e-10	  7.8424e-04	
  1.0457e+02	 -2.0542e+00	  6.0698e+00	  1.5921e-03	  1.6839e-10	  7.9612e-04	
  1.0616e+02	 -2.0339e+00	  6.0708e+00	  1.6159e-03	  1.6568e-10	  8.0798e-04	
  1.0774e+02	 -2.0139e+00	  6.0718e+00	  1.6396e-03	  1.6304e-10	  8.1984e-04	
  1.0933e+02	 -1.9942e+00	  6.0729e+00	  1.6633e-03	  1.6049e-10	  8.3168e-04	
  1.1091e+02	 -1.9747e+00	  6.0739e+00	  1.6869e-03	  1.5801e-10	  8.4352e-04	
  1.1250e+02	 -1.9556e+00	  6.0749e+00	  1.7106e-03	  1.5560e-10	  8.5535e-04	
  1.1408e+02	 -1.9367e+00	  6.0760e+00	  1.7342e-03	  1.5327e-10	  8.6717e-04	
  1.1566e+02	 -1.9180e+00	  6.0770e+00	  1.7579e-03	  1.5099e-10	  8.7899e-04	
  1.1725e+02	 -1.8996e+00	  6.0780e+00	  1.7815e-03	  1.4879e-10	  8.9079e-04	
  1.1883e+02	 -1.8815e+00	  6.0790e+00	  1.8051e-03	  1.4664e-10	  9.0258e-04	
  1.2042e+02	 -1.8636e+00	  6.0800e+00	  1.8286e-03	  1.4455e-10	  9.1437e-04	
  1.2200e+02	 -1.8459e+00	  6.0811e+00	  1.8522e-03	  1.4251e-10	  9.2614e-04	
  1.2359e+02	 -1.8284e+00	  6.0821e+00	  1.8757e-03	  1.4054e-10	  9.3790e-04	
  1.2517e+02	 -1.8112e+00	  6.0831e+00	  1.8992e-03	  1.3861e-10	  9.4965e-04	
  1.2676e+02	 -1.7942e+00	  6.0841e+00	  1.9227e-03	  1.3673e-10	  9.6139e-04	
  1.2834e+02	 -1.7774e+00	  6.0851e+00	  1.9461e-03	  1.3490e-10	  9.7312e-04	
  1.2992e+02	 -1.7608e+00	  6.0861e+00	  1.9696e-03	  1.3312e-10	  9.8484e-04	
  1.3151e+02	 -1.7443e+00	  6.0872e+00	  1.9930e-03	  1.3138e-10	  9.9655e-04	
  1.3309e+02	 -1.7281e+00	  6.0882e+00	  2.0164e-03	  1.2969e-10	  1.0082e-03	
  1.3468e+02	 -1.7121e+00	  6.0892e+00	  2.0398e-03	  1.2803e-10	  1.0199e-03	
  1.3626e+02	 -1.6963e+00	  6.0902e+00	  2.0631e-03	  1.2642e-10	  1.0316e-03	
  1.3785e+02	 -1.6806e+00	  6.0912e+00	  2.0864e-03	  1.2484e-10	  1.0433e-03	
  1.3943e+02	 -1.6652e+00	  6.0922e+00	  2.1098e-03	  1.2331e-10	  1.0549e-03	
  1.4102e+02	 -1.6499e+00	  6.0932e+00	  2.1330e-03	  1.2181e-10	  1.0666e-03	
  1.4260e+02	 -1.6347e+00	  6.0942e+00	  2.1563e-03	  1.2034e-10	  1.0782e-03	
  1.4418e+02	 -1.6198e+00	  6.0952e+00	  2.1795e-03	  1.1891e-10	  1.0898e-03	
