  Time(year)	  SI(Albite)	          pH	    Tot_SiO2	      Tot_Al	      TOT_Na	
  0.0000e+00	 -9.9990e+01	  6.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.5844e+00	 -7.5651e+00	  6.0011e+00	  2.4428e-05	  1.2284e-08	  1.2208e-05	
  3.1689e+00	 -6.6614e+00	  6.0022e+00	  4.8831e-05	  6.1324e-09	  2.4413e-05	
  4.7533e+00	 -6.1323e+00	  6.0032e+00	  7.3231e-05	  4.0810e-09	  3.6614e-05	
  6.3378e+00	 -5.7566e+00	  6.0043e+00	  9.7624e-05	  3.0552e-09	  4.8811e-05	
  7.9222e+00	 -5.4650e+00	  6.0054e+00	  1.2201e-04	  2.4397e-09	  6.1004e-05	
  9.5066e+00	 -5.2266e+00	  6.0065e+00	  1.4639e-04	  2.0294e-09	  7.3193e-05	
  1.1091e+01	 -5.0249e+00	  6.0076e+00	  1.7076e-04	  1.7363e-09	  8.5378e-05	
  1.2676e+01	 -4.8501e+00	  6.0086e+00	  1.9512e-04	  1.5166e-09	  9.7559e-05	
  1.4260e+01	 -4.6958e+00	  6.0097e+00	  2.1947e-04	  1.3457e-09	  1.0974e-04	
  1.5844e+01	 -4.5576e+00	  6.0108e+00	  2.4382e-04	  1.2089e-09	  1.2191e-04	
  1.7429e+01	 -4.4326e+00	  6.0119e+00	  2.6816e-04	  1.0971e-09	  1.3408e-04	
  1.9013e+01	 -4.3184e+00	  6.0129e+00	  2.9249e-04	  1.0039e-09	  1.4624e-04	
  2.0598e+01	 -4.2132e+00	  6.0140e+00	  3.1681e-04	  9.2506e-10	  1.5841e-04	
  2.2182e+01	 -4.1158e+00	  6.0151e+00	  3.4113e-04	  8.5748e-10	  1.7056e-04	
  2.3767e+01	 -4.0251e+00	  6.0162e+00	  3.6544e-04	  7.9893e-10	  1.8272e-04	
  2.5351e+01	 -3.9401e+00	  6.0172e+00	  3.8973e-04	  7.4771e-10	  1.9487e-04	
  2.6935e+01	 -3.8603e+00	  6.0183e+00	  4.1402e-04	  7.0252e-10	  2.0701e-04	
  2.8520e+01	 -3.7850e+00	  6.0194e+00	  4.3831e-04	  6.6236e-10	  2.1915e-04	
  3.0104e+01	 -3.7137e+00	  6.0204e+00	  4.6258e-04	  6.2644e-10	  2.3129e-04	
  3.1689e+01	 -3.6460e+00	  6.0215e+00	  4.8685e-04	  5.9411e-10	  2.4342e-04	
  3.3273e+01	 -3.5816e+00	  6.0226e+00	  5.1111e-04	  5.6487e-10	  2.5555e-04	
